routingNumber,bankName,districtName,branchName
10180044,AGRANI BANK LTD,CHUADANGA,ALAMDANGA
10180107,AGRANI BANK LTD,CHUADANGA,ANDUL BARIA
10180136,AGRANI BANK LTD,CHUADANGA,ASMANKHALI
10180194,AGRANI BANK LTD,CHUADANGA,CHUADANGA
10180310,AGRANI BANK LTD,CHUADANGA,DARSHANA
10180431,AGRANI BANK LTD,CHUADANGA,HARDI
10180581,AGRANI BANK LTD,CHUADANGA,JIBAN NAGAR
10180707,AGRANI BANK LTD,CHUADANGA,KEDERGANJ
10180794,AGRANI BANK LTD,CHUADANGA,RADHAKANTAPUR BAZAR
10180828,AGRANI BANK LTD,CHUADANGA,RAMDIA BAZAR
10190063,AGRANI BANK LTD,COMILLA,JUKTIKHOLA BAZAR
10190126,AGRANI BANK LTD,COMILLA,MEDICAL COLLEGE
10190168,AGRANI BANK LTD,COMILLA,AMRATALI BAZAR
10190250,AGRANI BANK LTD,COMILLA,B S C I C
10190371,AGRANI BANK LTD,COMILLA,BALUTUPA
10190526,AGRANI BANK LTD,COMILLA,BATA KANDI BAZAR
10190555,AGRANI BANK LTD,COMILLA,BATAICHARI BAZAR
10190739,AGRANI BANK LTD,COMILLA,BOKSHAGONJ
10190834,AGRANI BANK LTD,COMILLA,BURICHANG BAZAR
10190889,AGRANI BANK LTD,COMILLA,CHANDINA
10191512,AGRANI BANK LTD,COMILLA,DAUDKANDI
10191604,AGRANI BANK LTD,COMILLA,DEBIDWAR
10192203,AGRANI BANK LTD,COMILLA,HASANPUR
10192232,AGRANI BANK LTD,COMILLA,HOMNA
10192261,AGRANI BANK LTD,COMILLA,HOUSING ESTATE
10192353,AGRANI BANK LTD,COMILLA,JAHAPUR
10192382,AGRANI BANK LTD,COMILLA,JHALAM BAZAR
10192595,AGRANI BANK LTD,COMILLA,KASHINAGAR
10192629,AGRANI BANK LTD,COMILLA,KHILA BAZAR
10192711,AGRANI BANK LTD,COMILLA,LAKSAM
10192779,AGRANI BANK LTD,COMILLA,MADHABPUR
10193073,AGRANI BANK LTD,COMILLA,MONOHARPUR
10193107,AGRANI BANK LTD,COMILLA,MONSHIRHAT
10193257,AGRANI BANK LTD,COMILLA,NANGALKOT
10193286,AGRANI BANK LTD,COMILLA,NASRATPUR
10193310,AGRANI BANK LTD,COMILLA,NATHERPETUA
10193349,AGRANI BANK LTD,COMILLA,NIMSHAR
10193402,AGRANI BANK LTD,COMILLA,PADUAR BAZAR
10193581,AGRANI BANK LTD,COMILLA,RAJGANJ
10193765,AGRANI BANK LTD,COMILLA,RUPBABU BAZAR
10193828,AGRANI BANK LTD,COMILLA,SHANKHACHAIL
10194098,AGRANI BANK LTD,COMILLA,TOMSON BRIDGE
10220254,AGRANI BANK LTD,COXS BAZAR,COXS BAZAR
10220641,AGRANI BANK LTD,COXS BAZAR,KHUTAKHALI
10220704,AGRANI BANK LTD,COXS BAZAR,MARICCHA
10220917,AGRANI BANK LTD,COXS BAZAR,TEKNAF
10260319,AGRANI BANK LTD,DHAKA,B A F
10260348,AGRANI BANK LTD,DHAKA,BADDA
10260430,AGRANI BANK LTD,DHAKA,BANANI
10260498,AGRANI BANK LTD,DHAKA,BANK TOWN
10261150,AGRANI BANK LTD,DHAKA,DHAMRAI
10261189,AGRANI BANK LTD,DHAKA,DHANMONDI
10261334,AGRANI BANK LTD,DHAKA,ELEPHANT ROAD
10261455,AGRANI BANK LTD,DHAKA,FARMGATE
10261547,AGRANI BANK LTD,DHAKA,GABTALI
10261697,AGRANI BANK LTD,DHAKA,GREEN ROAD
10261721,AGRANI BANK LTD,DHAKA,GULSHAN
10262117,AGRANI BANK LTD,DHAKA,ICDDRB
10262267,AGRANI BANK LTD,DHAKA,JAHANGIRNAGAR UNIVERSITY
10262654,AGRANI BANK LTD,DHAKA,KURMITOLA
10262988,AGRANI BANK LTD,DHAKA,MIRPUR
10263190,AGRANI BANK LTD,DHAKA,MOHAKHALI
10263282,AGRANI BANK LTD,DHAKA,MOHAMMADPUR
10263529,AGRANI BANK LTD,DHAKA,NEW MARKET
10263587,AGRANI BANK LTD,DHAKA,PALLABI
10263611,AGRANI BANK LTD,DHAKA,PANTHA PATH
10263640,AGRANI BANK LTD,DHAKA,PATHALIA
10263945,AGRANI BANK LTD,DHAKA,RAYER BAZAR
10264036,AGRANI BANK LTD,DHAKA,SATMASJID ROAD
10264094,AGRANI BANK LTD,DHAKA,SAVAR
10264210,AGRANI BANK LTD,DHAKA,SENPARA
10264278,AGRANI BANK LTD,DHAKA,SHEWRA PARA
10264302,AGRANI BANK LTD,DHAKA,SHYAMALI
10264331,AGRANI BANK LTD,DHAKA,SIMULIA
10264360,AGRANI BANK LTD,DHAKA,SONARGAON ROAD
10264515,AGRANI BANK LTD,DHAKA,TEJGAON INDUSTRIAL AREA
10264694,AGRANI BANK LTD,DHAKA,UTTARA MODEL TOWN
10264728,AGRANI BANK LTD,DHAKA,WASA
10270004,AGRANI BANK LTD,DHAKA,TRUNCATION POINT
10270109,AGRANI BANK LTD,DHAKA,AGAMASHILANE
10270259,AGRANI BANK LTD,DHAKA,AMINCOURT
10270262,AGRANI BANK LTD,DHAKA,CHURAIN BAZAR
10270288,AGRANI BANK LTD,DHAKA,ANTA BARAH
10270325,AGRANI BANK LTD,DHAKA,RAYER BAGH
10270433,AGRANI BANK LTD,DHAKA,B B AVENUE
10270554,AGRANI BANK LTD,DHAKA,BABU BAZAR
10270796,AGRANI BANK LTD,DHAKA,BANGLA ACADAMY
10270970,AGRANI BANK LTD,DHAKA,BASHABOO
10271032,AGRANI BANK LTD,DHAKA,BECHARAMDEWRI
10271061,AGRANI BANK LTD,DHAKA,BEGUM BAZAR
10271216,AGRANI BANK LTD,DHAKA,CENTRAL LAW COLLEGE
10271274,AGRANI BANK LTD,DHAKA,CHAWK BAZAR
10271337,AGRANI BANK LTD,DHAKA,CHOWDHURY BAZAR
10271632,AGRANI BANK LTD,DHAKA,DHAKA SHERATON HOTEL
10271724,AGRANI BANK LTD,DHAKA,DHAKA UNIVERSITY
10271874,AGRANI BANK LTD,DHAKA,DHOLAIRPAR
10272231,AGRANI BANK LTD,DHAKA,FARASHGANJ
10272260,AGRANI BANK LTD,DHAKA,FARIDABAD
10272323,AGRANI BANK LTD,DHAKA,FOREIGN EXCHANGE
10272594,AGRANI BANK LTD,DHAKA,HATKHOLA
10272686,AGRANI BANK LTD,DHAKA,HEAD OFFICE
10272802,AGRANI BANK LTD,DHAKA,IMAMGANJ
10272981,AGRANI BANK LTD,DHAKA,ISLAMPUR
10273106,AGRANI BANK LTD,DHAKA,JAGANNATH UNIVERSITY
10273164,AGRANI BANK LTD,DHAKA,JATIYA JADUGHAR
10273193,AGRANI BANK LTD,DHAKA,JATIYA PRESS CLUB
10273227,AGRANI BANK LTD,DHAKA,JATRABARI
10273285,AGRANI BANK LTD,DHAKA,JOYPARA
10273348,AGRANI BANK LTD,DHAKA,KADAMTALI
10273498,AGRANI BANK LTD,DHAKA,KAMALAPUR
10273580,AGRANI BANK LTD,DHAKA,KAMRANGIRCHAR
10273735,AGRANI BANK LTD,DHAKA,KOMORGONJ
10273948,AGRANI BANK LTD,DHAKA,MALIBAGH
10274000,AGRANI BANK LTD,DHAKA,MATUAIL
10274097,AGRANI BANK LTD,DHAKA,MITFORD HOSPITAL
10274392,AGRANI BANK LTD,DHAKA,MOUCHAK MARKET
10274426,AGRANI BANK LTD,DHAKA,MOULVI BAZAR
10274639,AGRANI BANK LTD,DHAKA,NARINDA
10274668,AGRANI BANK LTD,DHAKA,NARISHA BAZAR
10274697,AGRANI BANK LTD,DHAKA,NAWABGANJ ROAD
10274718,AGRANI BANK LTD,DHAKA,NOBABGONJ KOLAKOPA
10274721,AGRANI BANK LTD,DHAKA,NAWABPUR
10275025,AGRANI BANK LTD,DHAKA,NEW ESKATON
10275117,AGRANI BANK LTD,DHAKA,NORTH SOUTH ROAD
10275175,AGRANI BANK LTD,DHAKA,PATILZHAP BAZAR
10275296,AGRANI BANK LTD,DHAKA,POSTA
10275359,AGRANI BANK LTD,DHAKA,PRINCIPAL
10275388,AGRANI BANK LTD,DHAKA,PURANA PALTAN
10275441,AGRANI BANK LTD,DHAKA,PYARIDAS ROAD
10275504,AGRANI BANK LTD,DHAKA,RAISHAHEB BAZAR
10275625,AGRANI BANK LTD,DHAKA,RAJUK BHABAN
10275683,AGRANI BANK LTD,DHAKA,RAMNA
10275746,AGRANI BANK LTD,DHAKA,RAMPURA
10275896,AGRANI BANK LTD,DHAKA,S S COLLEGE
10275920,AGRANI BANK LTD,DHAKA,SADARGHAT
10276011,AGRANI BANK LTD,DHAKA,SANTINAGAR
10276679,AGRANI BANK LTD,DHAKA,THATARI BAZAR
10276945,AGRANI BANK LTD,DHAKA,WAPDA
10277094,AGRANI BANK LTD,DHAKA,ZINZIRA
10280078,AGRANI BANK LTD,DINAJPUR,AMTALI
10280281,AGRANI BANK LTD,DINAJPUR,BHUSHIR BANDAR
10280344,AGRANI BANK LTD,DINAJPUR,BIRAMPUR
10280373,AGRANI BANK LTD,DINAJPUR,BIRGANJ
10280915,AGRANI BANK LTD,DINAJPUR,HAKIMPUR
10281156,AGRANI BANK LTD,DINAJPUR,KAMOLPUR
10281369,AGRANI BANK LTD,DINAJPUR,MADILA HAT
10281422,AGRANI BANK LTD,DINAJPUR,MALDAH PATTY
